model,facet,temperature,n_items,n_dropped,parse_rate,median_same_pairs,median_cross_pairs,d_same_decoder,d_same_ci,d_cross_total,d_cross_ci,delta_ordering,delta_ci,delta_p_onesided,anyflip_total,anyflip_ci,expected_acc,expected_acc_ci,best_ord_acc,worst_ord_acc,acc_swing,acc_swing_ci,acc_swing_p_onesided,answerable_rate,acc_swing_on_answerable,delta_p_bh,delta_gt0_bh_sig,swing_p_bh,acc_swing_gt0_bh_sig,parse_rate_vs_T0,parse_drift_flag
gemini-3-flash-preview,document_rank_order,0.0,370,0,1.0,60.0,375.0,0.0423,"[0.03, 0.0551]",0.0639,"[0.0457, 0.0833]",0.0216,"[0.0144, 0.0296]",0.0,0.1568,"[0.1233, 0.1973]",0.7649,"[0.7216, 0.8045]",0.8,0.7324,0.0676,"[0.0432, 0.0946]",0.0,0.8,0.0845,0.0,True,0.0,True,0.0,False
gemini-3-flash-preview,document_rank_order,0.7,370,0,1.0,60.0,375.0,0.0661,"[0.0507, 0.0839]",0.075,"[0.0578, 0.0947]",0.0089,"[0.005, 0.0135]",0.0,0.2216,"[0.1823, 0.2667]",0.7667,"[0.7239, 0.8081]",0.7865,0.7459,0.0405,"[0.0216, 0.0595]",0.0,0.7865,0.0515,0.0,True,0.0,True,0.0,False
gemini-3-flash-preview,document_rank_order,1.0,370,0,0.9999,60.0,375.0,0.071,"[0.0539, 0.0887]",0.0783,"[0.0597, 0.0974]",0.0074,"[0.0039, 0.0115]",0.0,0.2649,"[0.2225, 0.3121]",0.7685,"[0.7257, 0.8086]",0.7892,0.7459,0.0432,"[0.0243, 0.0622]",0.0,0.7892,0.0548,0.0,True,0.0,True,-0.0001,False
gemini-3-flash-preview,evidence_chunk_order,0.0,549,0,1.0,60,375,0.0982,"[0.0844, 0.1122]",0.1462,"[0.1263, 0.1666]",0.048,"[0.04, 0.0564]",0.0,0.3406,"[0.3022, 0.3812]",0.6387,"[0.6014, 0.677]",0.7104,0.5683,0.1421,"[0.1129, 0.173]",0.0,0.7104,0.2,0.0,True,0.0,True,0.0,False
gemini-3-flash-preview,evidence_chunk_order,0.7,549,0,0.9999,60,375,0.1307,"[0.1137, 0.1501]",0.1439,"[0.1251, 0.1648]",0.0132,"[0.0093, 0.0175]",0.0,0.3643,"[0.3251, 0.4054]",0.639,"[0.6002, 0.6779]",0.6885,0.5847,0.1038,"[0.0801, 0.1311]",0.0,0.6885,0.1508,0.0,True,0.0,True,-0.0001,False
gemini-3-flash-preview,evidence_chunk_order,1.0,549,0,0.9999,60,375,0.1389,"[0.1205, 0.1575]",0.1523,"[0.1325, 0.1723]",0.0133,"[0.0088, 0.0182]",0.0,0.3679,"[0.3286, 0.4091]",0.639,"[0.599, 0.6764]",0.6958,0.5847,0.1111,"[0.0856, 0.1366]",0.0,0.6958,0.1597,0.0,True,0.0,True,-0.0001,False
gemini-3-flash-preview,image_set_order,0.0,213,0,1.0,60,375,0.0918,"[0.0724, 0.1109]",0.1249,"[0.0986, 0.1512]",0.0331,"[0.023, 0.0442]",0.0,0.3756,"[0.3133, 0.4423]",0.59,"[0.5274, 0.6549]",0.6714,0.5117,0.1596,"[0.1127, 0.2113]",0.0,0.6714,0.2378,0.0,True,0.0,True,0.0,False
gemini-3-flash-preview,image_set_order,0.7,213,0,1.0,60,375,0.1235,"[0.0996, 0.1473]",0.1384,"[0.111, 0.165]",0.015,"[0.0078, 0.0234]",0.0,0.4085,"[0.3446, 0.4755]",0.597,"[0.5344, 0.662]",0.662,0.5352,0.1268,"[0.0845, 0.1737]",0.0,0.662,0.1915,0.0,True,0.0,True,0.0,False
gemini-3-flash-preview,image_set_order,1.0,213,0,1.0,60,375,0.1207,"[0.097, 0.1455]",0.1359,"[0.1097, 0.1637]",0.0153,"[0.0084, 0.0228]",0.0,0.4085,"[0.3446, 0.4755]",0.5994,"[0.5376, 0.6588]",0.6808,0.5258,0.1549,"[0.108, 0.2066]",0.0,0.6808,0.2276,0.0,True,0.0,True,0.0,False
gemini-3-flash-preview,mixed_modality_order,0.0,597,0,1.0,60,375,0.6415,"[0.6308, 0.6524]",0.9384,"[0.9285, 0.9477]",0.2969,"[0.2896, 0.3041]",0.0,1.0,"[0.9936, 1.0]",0.1721,"[0.1453, 0.2004]",0.2211,0.1206,0.1005,"[0.0771, 0.1256]",0.0,0.2211,0.4545,0.0,True,0.0,True,0.0,False
